NIK,Nama,Tempat_Lahir,Tanggal_Lahir,Jenis_Kelamin,Alamat,RT_RW,Kel_Desa,Kecamatan,Kab_Kota,Provinsi,Agama,Status_Perkawinan,Pekerjaan,Kewarganegaraan
5055675806615051,DEWI PERMANA,BOGOR,1961-06-18,PEREMPUAN,JL. DUMMY NO. 21,002/005,DESA MAKMUR,KECAMATAN A,MALANG,JAWA TENGAH,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
2279976211926467,FARHAN SAPUTRA,SURABAYA,1992-11-22,PEREMPUAN,JL. DUMMY NO. 117,002/001,DESA MAKMUR,KECAMATAN B,SURABAYA,JAWA TIMUR,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
7456494703781245,ADI PRATAMA,SURABAYA,1978-03-07,PEREMPUAN,JL. DUMMY NO. 74,009/002,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA TIMUR,HINDU,KAWIN,PELAJAR/MAHASISWA,WNI
9485782707782957,FARHAN SANTOSO,SEMARANG,1978-07-27,LAKI-LAKI,JL. DUMMY NO. 175,003/009,DESA SEJAHTERA,KECAMATAN B,SURABAYA,JAWA BARAT,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
9790594108740305,DEWI PRATAMA,MALANG,1974-08-01,PEREMPUAN,JL. DUMMY NO. 186,010/010,DESA MAJU,KECAMATAN B,SURABAYA,JAWA TIMUR,KRISTEN,BELUM KAWIN,BURUH,WNI
7921385104716602,JOKO SAPUTRA,BANDUNG,1971-04-11,PEREMPUAN,JL. DUMMY NO. 132,006/006,DESA MAKMUR,KECAMATAN C,SEMARANG,JAWA TIMUR,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
4539742211815427,INDRA PRATAMA,MALANG,1981-11-22,LAKI-LAKI,JL. DUMMY NO. 197,010/004,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,PETANI,WNI
7805286710489315,CITRA WIJAYA,MALANG,1948-10-27,PEREMPUAN,JL. DUMMY NO. 66,010/004,DESA MAJU,KECAMATAN B,SURABAYA,JAWA BARAT,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
8183543103641116,JOKO PERMANA,MALANG,1964-03-31,LAKI-LAKI,JL. DUMMY NO. 20,002/007,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TENGAH,KATOLIK,BELUM KAWIN,WIRASWASTA,WNI
9601554511601679,INDRA SAPUTRA,SEMARANG,1960-11-05,PEREMPUAN,JL. DUMMY NO. 134,007/008,DESA MAKMUR,KECAMATAN A,MALANG,JAWA TENGAH,KATOLIK,BELUM KAWIN,PETANI,WNI
7147752309460055,JOKO SANTOSO,SURABAYA,1946-09-23,LAKI-LAKI,JL. DUMMY NO. 110,002/006,DESA MAKMUR,KECAMATAN A,SURABAYA,JAWA TIMUR,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
1433672908901318,GITA PRATAMA,MALANG,1990-08-29,LAKI-LAKI,JL. DUMMY NO. 7,004/001,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA BARAT,ISLAM,BELUM KAWIN,KARYAWAN SWASTA,WNI
1582564811679873,HADI SANTOSO,SEMARANG,1967-11-08,PEREMPUAN,JL. DUMMY NO. 73,001/002,DESA MAJU,KECAMATAN B,BANDUNG,JAWA BARAT,ISLAM,BELUM KAWIN,WIRASWASTA,WNI
3858202907902247,INDRA SAPUTRA,SEMARANG,1990-07-29,LAKI-LAKI,JL. DUMMY NO. 73,006/008,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA BARAT,KATOLIK,BELUM KAWIN,KARYAWAN SWASTA,WNI
6355814101649867,JOKO SANTOSO,BANDUNG,1964-01-01,PEREMPUAN,JL. DUMMY NO. 145,003/010,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA BARAT,ISLAM,KAWIN,PETANI,WNI
3568761305513145,JOKO PRATAMA,BOGOR,1951-05-13,LAKI-LAKI,JL. DUMMY NO. 149,002/003,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA BARAT,KRISTEN,BELUM KAWIN,KARYAWAN SWASTA,WNI
6735485111753676,GITA PRATAMA,BANDUNG,1975-11-11,PEREMPUAN,JL. DUMMY NO. 143,006/005,DESA MAKMUR,KECAMATAN B,MALANG,JAWA TIMUR,KRISTEN,KAWIN,PELAJAR/MAHASISWA,WNI
2586691112839305,EKO LESTARI,BOGOR,1983-12-11,LAKI-LAKI,JL. DUMMY NO. 186,005/002,DESA MAJU,KECAMATAN A,SEMARANG,JAWA TIMUR,BUDDHA,KAWIN,WIRASWASTA,WNI
9645311806878914,DEWI SAPUTRA,BOGOR,1987-06-18,LAKI-LAKI,JL. DUMMY NO. 16,009/003,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA TENGAH,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
2853290511570891,BUDI PRATAMA,SEMARANG,1957-11-05,LAKI-LAKI,JL. DUMMY NO. 4,008/005,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA BARAT,BUDDHA,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
4989184911726676,EKO PERMANA,MALANG,1972-11-09,PEREMPUAN,JL. DUMMY NO. 118,008/010,DESA MAJU,KECAMATAN B,MALANG,JAWA TENGAH,BUDDHA,KAWIN,PELAJAR/MAHASISWA,WNI
8764291310714722,CITRA PRATAMA,SEMARANG,1971-10-13,LAKI-LAKI,JL. DUMMY NO. 184,002/009,DESA SEJAHTERA,KECAMATAN A,SURABAYA,JAWA BARAT,HINDU,BELUM KAWIN,WIRASWASTA,WNI
4719407112981755,CITRA SANTOSO,SURABAYA,1998-12-31,PEREMPUAN,JL. DUMMY NO. 61,008/006,DESA MAKMUR,KECAMATAN B,MALANG,JAWA BARAT,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
4975274410824141,DEWI PERMANA,SURABAYA,1982-10-04,PEREMPUAN,JL. DUMMY NO. 190,002/006,DESA SEJAHTERA,KECAMATAN B,MALANG,JAWA TENGAH,HINDU,KAWIN,WIRASWASTA,WNI
9344094102608067,DEWI SAPUTRA,BANDUNG,1960-02-01,PEREMPUAN,JL. DUMMY NO. 43,003/004,DESA MAJU,KECAMATAN B,SEMARANG,JAWA BARAT,KATOLIK,BELUM KAWIN,WIRASWASTA,WNI
2201502906827685,GITA SAPUTRA,SEMARANG,1982-06-29,LAKI-LAKI,JL. DUMMY NO. 46,006/009,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA TENGAH,KATOLIK,KAWIN,WIRASWASTA,WNI
4589854311003589,HADI PRATAMA,BANDUNG,2000-11-03,PEREMPUAN,JL. DUMMY NO. 109,004/002,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA BARAT,KATOLIK,BELUM KAWIN,BURUH,WNI
1645256202806889,CITRA LESTARI,SEMARANG,1980-02-22,PEREMPUAN,JL. DUMMY NO. 42,004/008,DESA MAJU,KECAMATAN A,MALANG,JAWA TIMUR,KRISTEN,BELUM KAWIN,KARYAWAN SWASTA,WNI
9761476908897452,INDRA LESTARI,BANDUNG,1989-08-29,PEREMPUAN,JL. DUMMY NO. 81,001/004,DESA MAKMUR,KECAMATAN B,SURABAYA,JAWA TIMUR,BUDDHA,BELUM KAWIN,PETANI,WNI
1609132109041455,GITA PRATAMA,SEMARANG,2004-09-21,LAKI-LAKI,JL. DUMMY NO. 92,005/008,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA TENGAH,KATOLIK,KAWIN,PELAJAR/MAHASISWA,WNI
5135946509885952,DEWI SANTOSO,SEMARANG,1988-09-25,PEREMPUAN,JL. DUMMY NO. 115,007/008,DESA MAJU,KECAMATAN A,SURABAYA,JAWA TIMUR,KATOLIK,KAWIN,BURUH,WNI
8080271601648924,BUDI LESTARI,MALANG,1964-01-16,LAKI-LAKI,JL. DUMMY NO. 19,003/004,DESA SEJAHTERA,KECAMATAN C,BOGOR,JAWA BARAT,KRISTEN,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
5881835902978064,HADI PERMANA,BANDUNG,1997-02-19,PEREMPUAN,JL. DUMMY NO. 55,007/008,DESA MAKMUR,KECAMATAN B,SEMARANG,JAWA TIMUR,KRISTEN,KAWIN,KARYAWAN SWASTA,WNI
9679336705005505,DEWI PRATAMA,BOGOR,2000-05-27,PEREMPUAN,JL. DUMMY NO. 69,004/007,DESA MAKMUR,KECAMATAN B,SEMARANG,JAWA BARAT,KRISTEN,KAWIN,BURUH,WNI
8499287006983976,BUDI PERMANA,SURABAYA,1998-06-30,PEREMPUAN,JL. DUMMY NO. 96,005/008,DESA SEJAHTERA,KECAMATAN A,SURABAYA,JAWA BARAT,ISLAM,KAWIN,WIRASWASTA,WNI
9560170904641104,INDRA SAPUTRA,BOGOR,1964-04-09,LAKI-LAKI,JL. DUMMY NO. 13,002/006,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA TENGAH,ISLAM,KAWIN,WIRASWASTA,WNI
8552905207812785,ADI SANTOSO,BOGOR,1981-07-12,PEREMPUAN,JL. DUMMY NO. 107,005/006,DESA SEJAHTERA,KECAMATAN B,SURABAYA,JAWA TIMUR,BUDDHA,KAWIN,PETANI,WNI
8823321706482294,ADI SAPUTRA,MALANG,1948-06-17,LAKI-LAKI,JL. DUMMY NO. 134,010/003,DESA MAKMUR,KECAMATAN B,MALANG,JAWA TENGAH,KRISTEN,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
9559971103723998,JOKO WIJAYA,MALANG,1972-03-11,LAKI-LAKI,JL. DUMMY NO. 26,002/004,DESA MAJU,KECAMATAN C,MALANG,JAWA TIMUR,HINDU,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
7201221804544842,BUDI SANTOSO,SEMARANG,1954-04-18,LAKI-LAKI,JL. DUMMY NO. 3,010/006,DESA SEJAHTERA,KECAMATAN C,SURABAYA,JAWA TENGAH,HINDU,KAWIN,BURUH,WNI
9146434712514656,EKO LESTARI,MALANG,1951-12-07,PEREMPUAN,JL. DUMMY NO. 46,004/004,DESA SEJAHTERA,KECAMATAN C,SURABAYA,JAWA TENGAH,KATOLIK,BELUM KAWIN,BURUH,WNI
3984841610692802,DEWI WIJAYA,SEMARANG,1969-10-16,LAKI-LAKI,JL. DUMMY NO. 119,006/006,DESA MAKMUR,KECAMATAN B,SEMARANG,JAWA TIMUR,BUDDHA,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
1446111509635063,INDRA PERMANA,BANDUNG,1963-09-15,LAKI-LAKI,JL. DUMMY NO. 2,006/002,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA BARAT,KATOLIK,KAWIN,WIRASWASTA,WNI
4032901701471337,JOKO WIJAYA,SURABAYA,1947-01-17,LAKI-LAKI,JL. DUMMY NO. 108,003/010,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA BARAT,HINDU,KAWIN,PELAJAR/MAHASISWA,WNI
3591604707975034,CITRA PERMANA,SURABAYA,1997-07-07,PEREMPUAN,JL. DUMMY NO. 184,003/004,DESA MAJU,KECAMATAN B,SEMARANG,JAWA TENGAH,KRISTEN,BELUM KAWIN,PETANI,WNI
5037781401808489,GITA WIJAYA,MALANG,1980-01-14,LAKI-LAKI,JL. DUMMY NO. 150,003/008,DESA MAKMUR,KECAMATAN B,BANDUNG,JAWA TENGAH,KATOLIK,KAWIN,PETANI,WNI
7626415502990737,HADI WIJAYA,SEMARANG,1999-02-15,PEREMPUAN,JL. DUMMY NO. 3,007/005,DESA MAJU,KECAMATAN A,BOGOR,JAWA TENGAH,KATOLIK,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
9484552305567893,HADI WIJAYA,SURABAYA,1956-05-23,LAKI-LAKI,JL. DUMMY NO. 83,004/001,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA BARAT,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
1431502807825139,ADI PERMANA,BANDUNG,1982-07-28,LAKI-LAKI,JL. DUMMY NO. 191,005/006,DESA MAJU,KECAMATAN A,MALANG,JAWA TENGAH,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI
8361444311685693,EKO WIJAYA,BOGOR,1968-11-03,PEREMPUAN,JL. DUMMY NO. 8,006/002,DESA MAKMUR,KECAMATAN B,MALANG,JAWA TENGAH,BUDDHA,KAWIN,BURUH,WNI
7142537004848654,HADI LESTARI,BOGOR,1984-04-30,PEREMPUAN,JL. DUMMY NO. 108,008/007,DESA MAKMUR,KECAMATAN A,SURABAYA,JAWA TENGAH,KRISTEN,KAWIN,BURUH,WNI
4060660911676360,CITRA WIJAYA,SEMARANG,1967-11-09,LAKI-LAKI,JL. DUMMY NO. 84,006/006,DESA MAKMUR,KECAMATAN A,SURABAYA,JAWA BARAT,BUDDHA,BELUM KAWIN,BURUH,WNI
1416996910558374,JOKO LESTARI,SURABAYA,1955-10-29,PEREMPUAN,JL. DUMMY NO. 161,004/003,DESA MAJU,KECAMATAN B,SEMARANG,JAWA BARAT,ISLAM,KAWIN,KARYAWAN SWASTA,WNI
2867975709486583,HADI PRATAMA,BOGOR,1948-09-17,PEREMPUAN,JL. DUMMY NO. 198,003/008,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA TIMUR,KATOLIK,KAWIN,WIRASWASTA,WNI
8370462811069933,HADI WIJAYA,MALANG,2006-11-28,LAKI-LAKI,JL. DUMMY NO. 168,001/002,DESA MAJU,KECAMATAN C,SURABAYA,JAWA TIMUR,ISLAM,BELUM KAWIN,BURUH,WNI
2066944304717038,HADI PRATAMA,BANDUNG,1971-04-03,PEREMPUAN,JL. DUMMY NO. 81,008/008,DESA SEJAHTERA,KECAMATAN A,SEMARANG,JAWA BARAT,HINDU,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
3200286801908269,INDRA PERMANA,SEMARANG,1990-01-28,PEREMPUAN,JL. DUMMY NO. 101,006/005,DESA MAKMUR,KECAMATAN B,SEMARANG,JAWA BARAT,KATOLIK,KAWIN,BURUH,WNI
2954290110525056,HADI PERMANA,MALANG,1952-10-01,LAKI-LAKI,JL. DUMMY NO. 165,007/009,DESA MAKMUR,KECAMATAN C,SURABAYA,JAWA TIMUR,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
6818222702012603,BUDI SANTOSO,SEMARANG,2001-02-27,LAKI-LAKI,JL. DUMMY NO. 122,006/002,DESA MAJU,KECAMATAN A,SEMARANG,JAWA TIMUR,HINDU,KAWIN,PELAJAR/MAHASISWA,WNI
9468232210998090,INDRA SANTOSO,SURABAYA,1999-10-22,LAKI-LAKI,JL. DUMMY NO. 166,010/002,DESA SEJAHTERA,KECAMATAN C,MALANG,JAWA TENGAH,KRISTEN,BELUM KAWIN,BURUH,WNI
5180164310463479,FARHAN LESTARI,SEMARANG,1946-10-03,PEREMPUAN,JL. DUMMY NO. 85,004/002,DESA MAKMUR,KECAMATAN B,MALANG,JAWA BARAT,ISLAM,BELUM KAWIN,PETANI,WNI
1289000203546448,FARHAN SANTOSO,MALANG,1954-03-02,LAKI-LAKI,JL. DUMMY NO. 140,010/002,DESA MAKMUR,KECAMATAN A,BANDUNG,JAWA BARAT,KATOLIK,KAWIN,KARYAWAN SWASTA,WNI
8511855912786005,ADI SAPUTRA,SURABAYA,1978-12-19,PEREMPUAN,JL. DUMMY NO. 41,002/006,DESA MAJU,KECAMATAN C,MALANG,JAWA TIMUR,ISLAM,BELUM KAWIN,WIRASWASTA,WNI
9714840703634209,DEWI SAPUTRA,SURABAYA,1963-03-07,LAKI-LAKI,JL. DUMMY NO. 41,008/009,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA TIMUR,KATOLIK,BELUM KAWIN,PETANI,WNI
8594563103907677,BUDI PRATAMA,SURABAYA,1990-03-31,LAKI-LAKI,JL. DUMMY NO. 189,009/004,DESA SEJAHTERA,KECAMATAN B,SURABAYA,JAWA TENGAH,HINDU,BELUM KAWIN,WIRASWASTA,WNI
8252870704989242,CITRA SAPUTRA,BOGOR,1998-04-07,LAKI-LAKI,JL. DUMMY NO. 49,004/008,DESA MAJU,KECAMATAN C,BANDUNG,JAWA TIMUR,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
5886741406948032,EKO PRATAMA,MALANG,1994-06-14,LAKI-LAKI,JL. DUMMY NO. 86,001/004,DESA MAJU,KECAMATAN B,BOGOR,JAWA BARAT,KATOLIK,BELUM KAWIN,PETANI,WNI
9126925007008682,DEWI LESTARI,SEMARANG,2000-07-10,PEREMPUAN,JL. DUMMY NO. 113,001/002,DESA MAJU,KECAMATAN B,SEMARANG,JAWA TIMUR,HINDU,KAWIN,BURUH,WNI
2075956011460419,GITA SANTOSO,SURABAYA,1946-11-20,PEREMPUAN,JL. DUMMY NO. 7,001/002,DESA SEJAHTERA,KECAMATAN C,SURABAYA,JAWA BARAT,ISLAM,KAWIN,WIRASWASTA,WNI
6630940207902944,BUDI SAPUTRA,BANDUNG,1990-07-02,LAKI-LAKI,JL. DUMMY NO. 195,003/010,DESA MAKMUR,KECAMATAN A,SEMARANG,JAWA BARAT,BUDDHA,KAWIN,PELAJAR/MAHASISWA,WNI
2396790401090133,GITA PERMANA,SURABAYA,2009-01-04,LAKI-LAKI,JL. DUMMY NO. 192,003/001,DESA SEJAHTERA,KECAMATAN B,MALANG,JAWA BARAT,KRISTEN,BELUM KAWIN,KARYAWAN SWASTA,WNI
3968342102559321,ADI PERMANA,MALANG,1955-02-21,LAKI-LAKI,JL. DUMMY NO. 87,005/010,DESA SEJAHTERA,KECAMATAN B,BOGOR,JAWA TIMUR,HINDU,BELUM KAWIN,PETANI,WNI
7492472311810379,DEWI WIJAYA,SEMARANG,1981-11-23,LAKI-LAKI,JL. DUMMY NO. 156,003/007,DESA MAJU,KECAMATAN A,BANDUNG,JAWA TENGAH,BUDDHA,KAWIN,WIRASWASTA,WNI
1956451301623035,DEWI LESTARI,SEMARANG,1962-01-13,LAKI-LAKI,JL. DUMMY NO. 15,009/010,DESA MAKMUR,KECAMATAN A,BOGOR,JAWA TIMUR,KRISTEN,KAWIN,BURUH,WNI
5485325005667953,CITRA SANTOSO,SEMARANG,1966-05-10,PEREMPUAN,JL. DUMMY NO. 20,006/010,DESA MAKMUR,KECAMATAN B,MALANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
2355346704539444,BUDI PRATAMA,SURABAYA,1953-04-27,PEREMPUAN,JL. DUMMY NO. 68,002/008,DESA MAJU,KECAMATAN A,SEMARANG,JAWA BARAT,KATOLIK,BELUM KAWIN,WIRASWASTA,WNI
2956304104530172,GITA PERMANA,SEMARANG,1953-04-01,PEREMPUAN,JL. DUMMY NO. 127,007/004,DESA SEJAHTERA,KECAMATAN B,MALANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,BURUH,WNI
5222254412649649,BUDI LESTARI,SEMARANG,1964-12-04,PEREMPUAN,JL. DUMMY NO. 126,001/010,DESA MAJU,KECAMATAN C,MALANG,JAWA BARAT,KATOLIK,KAWIN,WIRASWASTA,WNI
5342503009053155,HADI WIJAYA,SEMARANG,2005-09-30,LAKI-LAKI,JL. DUMMY NO. 141,002/008,DESA MAJU,KECAMATAN B,MALANG,JAWA BARAT,ISLAM,KAWIN,BURUH,WNI
9356510501861286,HADI PRATAMA,SEMARANG,1986-01-05,LAKI-LAKI,JL. DUMMY NO. 34,005/005,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA TENGAH,KRISTEN,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
4844156403928203,DEWI SAPUTRA,SEMARANG,1992-03-24,PEREMPUAN,JL. DUMMY NO. 171,010/004,DESA SEJAHTERA,KECAMATAN B,SURABAYA,JAWA BARAT,ISLAM,BELUM KAWIN,BURUH,WNI
5706755004702916,GITA SANTOSO,SEMARANG,1970-04-10,PEREMPUAN,JL. DUMMY NO. 183,009/005,DESA SEJAHTERA,KECAMATAN C,MALANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,BURUH,WNI
5146431411646662,BUDI PRATAMA,SURABAYA,1964-11-14,LAKI-LAKI,JL. DUMMY NO. 43,005/006,DESA SEJAHTERA,KECAMATAN C,SEMARANG,JAWA TENGAH,BUDDHA,KAWIN,BURUH,WNI
4325201104927824,ADI SAPUTRA,SEMARANG,1992-04-11,LAKI-LAKI,JL. DUMMY NO. 88,003/006,DESA MAJU,KECAMATAN C,BOGOR,JAWA TENGAH,KATOLIK,BELUM KAWIN,KARYAWAN SWASTA,WNI
9530835910783618,JOKO SANTOSO,MALANG,1978-10-19,PEREMPUAN,JL. DUMMY NO. 118,002/003,DESA MAJU,KECAMATAN B,SURABAYA,JAWA TIMUR,HINDU,BELUM KAWIN,PELAJAR/MAHASISWA,WNI
9535106709852022,HADI SANTOSO,BOGOR,1985-09-27,PEREMPUAN,JL. DUMMY NO. 173,006/002,DESA MAKMUR,KECAMATAN B,SURABAYA,JAWA TENGAH,KATOLIK,BELUM KAWIN,BURUH,WNI
7053824701701300,BUDI LESTARI,SEMARANG,1970-01-07,PEREMPUAN,JL. DUMMY NO. 148,001/005,DESA SEJAHTERA,KECAMATAN A,BOGOR,JAWA BARAT,BUDDHA,KAWIN,KARYAWAN SWASTA,WNI
2769691711464570,FARHAN PRATAMA,SURABAYA,1946-11-17,LAKI-LAKI,JL. DUMMY NO. 83,001/006,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA TIMUR,KRISTEN,BELUM KAWIN,PETANI,WNI
2685476905738859,HADI PRATAMA,BOGOR,1973-05-29,PEREMPUAN,JL. DUMMY NO. 44,001/004,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA TENGAH,HINDU,BELUM KAWIN,WIRASWASTA,WNI
3688021508085448,JOKO LESTARI,MALANG,2008-08-15,LAKI-LAKI,JL. DUMMY NO. 113,009/010,DESA MAJU,KECAMATAN C,SEMARANG,JAWA BARAT,ISLAM,KAWIN,PETANI,WNI
3388315204527245,DEWI PERMANA,BOGOR,1952-04-12,PEREMPUAN,JL. DUMMY NO. 87,003/006,DESA MAJU,KECAMATAN C,MALANG,JAWA BARAT,BUDDHA,KAWIN,PELAJAR/MAHASISWA,WNI
9466793010062121,BUDI SANTOSO,SURABAYA,2006-10-30,LAKI-LAKI,JL. DUMMY NO. 32,001/003,DESA MAKMUR,KECAMATAN C,SURABAYA,JAWA TENGAH,KRISTEN,KAWIN,PETANI,WNI
6042142709627529,HADI LESTARI,MALANG,1962-09-27,LAKI-LAKI,JL. DUMMY NO. 162,010/006,DESA SEJAHTERA,KECAMATAN B,MALANG,JAWA TIMUR,HINDU,BELUM KAWIN,PETANI,WNI
7809025302471803,HADI PERMANA,SEMARANG,1947-02-13,PEREMPUAN,JL. DUMMY NO. 141,010/006,DESA MAJU,KECAMATAN A,BOGOR,JAWA TIMUR,KATOLIK,BELUM KAWIN,WIRASWASTA,WNI
2453211212565210,HADI SANTOSO,BANDUNG,1956-12-12,LAKI-LAKI,JL. DUMMY NO. 52,009/010,DESA MAJU,KECAMATAN C,SEMARANG,JAWA TIMUR,HINDU,KAWIN,WIRASWASTA,WNI
2093044707580594,EKO WIJAYA,BOGOR,1958-07-07,PEREMPUAN,JL. DUMMY NO. 180,004/002,DESA MAJU,KECAMATAN C,BOGOR,JAWA TENGAH,ISLAM,KAWIN,PELAJAR/MAHASISWA,WNI
5352991805991166,EKO LESTARI,MALANG,1999-05-18,LAKI-LAKI,JL. DUMMY NO. 50,009/010,DESA MAJU,KECAMATAN B,BANDUNG,JAWA TENGAH,KATOLIK,BELUM KAWIN,KARYAWAN SWASTA,WNI
5776993008511624,INDRA WIJAYA,BOGOR,1951-08-30,LAKI-LAKI,JL. DUMMY NO. 129,006/001,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA TENGAH,KRISTEN,KAWIN,PELAJAR/MAHASISWA,WNI
3729740111575345,JOKO LESTARI,MALANG,1957-11-01,LAKI-LAKI,JL. DUMMY NO. 77,009/009,DESA SEJAHTERA,KECAMATAN A,SEMARANG,JAWA TIMUR,BUDDHA,KAWIN,PELAJAR/MAHASISWA,WNI
4622154508692702,DEWI LESTARI,SEMARANG,1969-08-05,PEREMPUAN,JL. DUMMY NO. 1,006/002,DESA MAKMUR,KECAMATAN C,MALANG,JAWA BARAT,HINDU,KAWIN,PELAJAR/MAHASISWA,WNI
5598895505594092,HADI SAPUTRA,SURABAYA,1959-05-15,PEREMPUAN,JL. DUMMY NO. 41,001/008,DESA SEJAHTERA,KECAMATAN A,MALANG,JAWA TIMUR,ISLAM,BELUM KAWIN,WIRASWASTA,WNI
3056651112869042,CITRA PRATAMA,SURABAYA,1986-12-11,LAKI-LAKI,JL. DUMMY NO. 137,002/007,DESA MAKMUR,KECAMATAN B,BANDUNG,JAWA BARAT,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI
3325310706027907,GITA SAPUTRA,SURABAYA,2002-06-07,LAKI-LAKI,JL. DUMMY NO. 10,006/002,DESA MAKMUR,KECAMATAN B,BANDUNG,JAWA BARAT,HINDU,BELUM KAWIN,WIRASWASTA,WNI
7439091212477063,INDRA LESTARI,BANDUNG,1947-12-12,LAKI-LAKI,JL. DUMMY NO. 132,005/002,DESA SEJAHTERA,KECAMATAN A,BANDUNG,JAWA TIMUR,ISLAM,BELUM KAWIN,WIRASWASTA,WNI
4547191911676485,GITA SANTOSO,MALANG,1967-11-19,LAKI-LAKI,JL. DUMMY NO. 171,005/008,DESA MAJU,KECAMATAN B,SURABAYA,JAWA BARAT,BUDDHA,KAWIN,BURUH,WNI
6350476611628040,EKO SANTOSO,SURABAYA,1962-11-26,PEREMPUAN,JL. DUMMY NO. 184,009/005,DESA SEJAHTERA,KECAMATAN B,SEMARANG,JAWA TENGAH,BUDDHA,BELUM KAWIN,WIRASWASTA,WNI
5804711707874112,HADI LESTARI,SEMARANG,1987-07-17,LAKI-LAKI,JL. DUMMY NO. 121,010/002,DESA MAJU,KECAMATAN B,BANDUNG,JAWA TENGAH,KATOLIK,BELUM KAWIN,BURUH,WNI
8671361010706470,HADI SANTOSO,MALANG,1970-10-10,LAKI-LAKI,JL. DUMMY NO. 113,008/003,DESA MAKMUR,KECAMATAN C,SURABAYA,JAWA BARAT,KATOLIK,KAWIN,KARYAWAN SWASTA,WNI
1160134406667338,BUDI PRATAMA,BANDUNG,1966-06-04,PEREMPUAN,JL. DUMMY NO. 64,004/010,DESA MAKMUR,KECAMATAN C,BOGOR,JAWA TIMUR,KRISTEN,BELUM KAWIN,WIRASWASTA,WNI
9553563101638501,BUDI SANTOSO,MALANG,1963-01-31,LAKI-LAKI,JL. DUMMY NO. 182,002/006,DESA MAJU,KECAMATAN C,MALANG,JAWA TIMUR,ISLAM,KAWIN,BURUH,WNI
7000255201911781,ADI SAPUTRA,BOGOR,1991-01-12,PEREMPUAN,JL. DUMMY NO. 3,005/002,DESA MAJU,KECAMATAN A,BOGOR,JAWA TIMUR,KATOLIK,BELUM KAWIN,PETANI,WNI
2242645512866205,CITRA PRATAMA,SURABAYA,1986-12-15,PEREMPUAN,JL. DUMMY NO. 123,002/010,DESA SEJAHTERA,KECAMATAN B,BANDUNG,JAWA BARAT,KRISTEN,KAWIN,KARYAWAN SWASTA,WNI
4787677110980337,FARHAN WIJAYA,BOGOR,1998-10-31,PEREMPUAN,JL. DUMMY NO. 50,010/006,DESA MAKMUR,KECAMATAN C,BANDUNG,JAWA TENGAH,HINDU,BELUM KAWIN,KARYAWAN SWASTA,WNI
4373551506475708,GITA PRATAMA,SURABAYA,1947-06-15,LAKI-LAKI,JL. DUMMY NO. 87,001/009,DESA SEJAHTERA,KECAMATAN B,BOGOR,JAWA TENGAH,HINDU,KAWIN,WIRASWASTA,WNI
