NIK,Nama,Jenis_Kelamin,Tanggal_Lahir,Alamat,RT,RW,Dusun
8136454021730469,Cawisadi Hartati,L,1953-05-24,"Gang Cikutra Timur No. 5, Serang, YO 66858",18,6,Dusun Selatan
5358201566327053,Tgk. Wawan Najmudin,L,1993-08-20,"Jalan Raya Setiabudhi No. 20, Samarinda, BT 16287",11,5,Dusun Barat
4925361818375947,Galur Maheswara,P,1968-08-14,"Gang Kendalsari No. 891, Tomohon, Maluku 93387",9,1,Dusun Barat
9333424877132441,Aisyah Hasanah,L,1955-04-22,"Gg. Pasir Koja No. 9, Tual, NT 39942",6,8,Dusun Barat
3111542430665189,Dewi Adriansyah,L,1949-01-14,"Jalan Moch. Toha No. 745, Cimahi, Sumatera Selatan 93340",15,1,Dusun Timur
6397864851880483,"Tgk. Humaira Lestari, S.Psi",P,1998-03-31,"Gg. Rajiman No. 2, Madiun, Sumatera Selatan 96311",6,2,Dusun Utara
8044735083598688,"Cakrawala Hutapea, M.Farm",L,1999-07-20,"Gg. Yos Sudarso No. 422, Palu, KU 91335",7,9,Dusun Barat
1462486376580203,Alambana Nugroho,L,1971-08-11,"Jl. Sadang Serang No. 147, Bogor, MA 93840",5,6,Dusun Selatan
6418115067529353,Nadia Andriani,P,1997-01-19,"Gg. Ahmad Yani No. 21, Denpasar, KS 69448",11,4,Dusun Barat
6365894438995147,Kunthara Hastuti,L,1962-09-18,"Jalan Sadang Serang No. 25, Pariaman, PA 59350",7,1,Dusun Timur
3940182568536317,Paramita Wijayanti,P,2008-01-21,"Gang Dipenogoro No. 1, Kotamobagu, Kepulauan Bangka Belitung 86126",10,5,Dusun Timur
2445407070491445,Harimurti Napitupulu,L,1970-10-01,"Jl. Cikapayang No. 2, Banjarmasin, BT 04422",9,9,Dusun Timur
5604617492922960,"Ridwan Maryati, S.Pd",P,2004-11-06,"Gg. Pelajar Pejuang No. 1, Pariaman, DI Yogyakarta 54977",9,6,Dusun Selatan
5271570554558760,"dr. Ulya Yuniar, S.H.",P,2007-05-15,"Gg. Bangka Raya No. 728, Pangkalpinang, NT 30882",13,2,Dusun Utara
9829513984111155,Jinawi Budiman,L,1951-06-29,"Jl. Antapani Lama No. 5, Kota Administrasi Jakarta Pusat, Maluku 96372",5,3,Dusun Barat
7675894221344629,Danu Tampubolon,L,2003-01-23,"Gang Bangka Raya No. 92, Jambi, Gorontalo 61921",10,2,Dusun Timur
7634676691852958,Puspa Anggriawan,L,1956-01-26,"Jl. Veteran No. 51, Solok, Maluku 63477",3,2,Dusun Utara
4538188893298531,"Dr. Garda Santoso, S.H.",P,1968-02-03,"Gang Jamika No. 19, Tarakan, JT 99967",19,6,Dusun Selatan
4806557054966741,Farhunnisa Hartati,P,1968-04-27,"Jl. Surapati No. 80, Tasikmalaya, JB 86412",4,6,Dusun Timur
3334188956031681,Gamanto Adriansyah,L,1959-07-16,"Jl. Cikutra Barat No. 31, Pekalongan, PA 94338",13,5,Dusun Timur
9757101485138608,Widya Mulyani,L,1987-07-08,"Gg. Abdul Muis No. 842, Palopo, YO 87357",15,4,Dusun Selatan
3619736825393179,Gada Rahayu,L,1959-09-28,"Gang Cempaka No. 4, Batam, Papua 37285",2,6,Dusun Selatan
1424126848788285,Amalia Samosir,L,1967-01-21,"Jl. Raya Setiabudhi No. 555, Purwokerto, Maluku Utara 83071",18,8,Dusun Barat
9815131920879353,Almira Nuraini,L,1965-01-24,"Gg. H.J Maemunah No. 498, Manado, RI 05084",12,9,Dusun Timur
1604850351915241,"Dr. Putri Pradipta, S.Kom",L,1964-07-05,"Gang Siliwangi No. 88, Yogyakarta, Kalimantan Utara 99694",11,8,Dusun Selatan
5066191010243519,Wulan Putra,L,1999-10-09,"Jl. Kapten Muslihat No. 5, Bogor, Jawa Timur 95916",19,7,Dusun Utara
5936694537438712,R.A. Vanya Uyainah,P,2002-01-17,"Jalan M.H Thamrin No. 056, Kota Administrasi Jakarta Timur, SN 38804",2,1,Dusun Timur
9591667130749959,R. Kezia Mandala,P,1992-05-14,"Gang Pasteur No. 584, Surakarta, Bali 79766",12,1,Dusun Timur
0884788159511614,"Galuh Nugroho, M.TI.",P,1990-03-22,"Jalan Siliwangi No. 97, Sungai Penuh, KI 48102",11,10,Dusun Timur
5252145056696893,Lala Agustina,P,1962-06-27,"Gang Asia Afrika No. 18, Blitar, Kalimantan Selatan 41558",20,9,Dusun Utara
4630856342640113,Ega Zulaika,L,1988-11-07,"Gang Cikutra Timur No. 5, Yogyakarta, Kalimantan Selatan 77149",9,2,Dusun Barat
6660492685590748,Cut Vicky Namaga,P,1945-09-17,"Jl. Asia Afrika No. 626, Kota Administrasi Jakarta Pusat, Lampung 06816",16,10,Dusun Utara
1691542608760956,"Dt. Parman Pangestu, M.TI.",P,2007-10-28,"Jl. Lembong No. 17, Tegal, JK 62676",20,6,Dusun Timur
5891984249406419,"R.M. Chandra Yuliarti, S.Farm",P,1954-03-19,"Gg. Rumah Sakit No. 24, Probolinggo, Papua Barat 19791",14,8,Dusun Utara
7581208899418604,Kenari Nugroho,P,1971-03-29,"Gg. Ciumbuleuit No. 3, Singkawang, Gorontalo 51282",2,3,Dusun Barat
6429211982192567,"Najwa Haryanto, M.Ak",L,1972-05-12,"Gang Rajawali Timur No. 018, Purwokerto, KR 10453",2,10,Dusun Selatan
9228960141926762,Padma Hidayanto,P,1995-07-16,"Gang Sadang Serang No. 4, Pagaralam, AC 28755",1,9,Dusun Utara
8453431486876652,Asmianto Hutagalung,P,1958-02-22,"Jl. Siliwangi No. 32, Kota Administrasi Jakarta Timur, Kepulauan Riau 46167",10,9,Dusun Timur
3599518040779293,Banara Wacana,P,1985-04-27,"Jalan Asia Afrika No. 10, Bandar Lampung, Bengkulu 31957",6,2,Dusun Timur
4741085700101041,Syahrini Wulandari,L,1973-11-27,"Jl. Dipatiukur No. 76, Purwokerto, YO 36681",3,2,Dusun Utara
7112840526174333,"Tgk. Endra Puspita, S.Kom",L,1982-09-16,"Jalan Asia Afrika No. 03, Langsa, SG 57853",2,8,Dusun Timur
7500086000084911,Puti Prasasta,L,1946-05-30,"Gang Gedebage Selatan No. 662, Kediri, PB 39497",2,4,Dusun Barat
6948877401361405,Embuh Aryani,L,1952-02-25,"Gg. Dipenogoro No. 87, Bandung, SR 53248",7,5,Dusun Selatan
5823978560458588,"Dinda Prayoga, S.I.Kom",P,1993-09-25,"Jalan Abdul Muis No. 6, Banjarmasin, SS 67528",3,4,Dusun Selatan
8213391670678828,"Dr. Gaduh Rajasa, M.M.",P,1954-02-18,"Gg. Sukabumi No. 591, Balikpapan, Sulawesi Barat 77891",8,3,Dusun Barat
6234922267075464,Jessica Adriansyah,L,1996-02-29,"Gang Suniaraja No. 15, Meulaboh, MU 96735",6,6,Dusun Timur
0817234551141991,Latika Astuti,P,1959-11-20,"Gg. Rajawali Barat No. 232, Kota Administrasi Jakarta Selatan, KU 15526",5,3,Dusun Timur
6484166570236755,"Kamaria Hastuti, M.TI.",P,2007-01-09,"Gg. Ciwastra No. 31, Balikpapan, Kalimantan Tengah 19239",12,1,Dusun Selatan
6583448253013172,Warji Mangunsong,P,1971-05-08,"Gang Cikapayang No. 5, Tangerang, Nusa Tenggara Timur 42869",6,8,Dusun Barat
7663505125936259,Radika Wasita,L,1961-09-17,"Jalan Raya Ujungberung No. 7, Purwokerto, KR 51749",8,10,Dusun Timur
4147252996725666,Dt. Galih Wasita,P,1950-08-26,"Jalan Lembong No. 60, Sibolga, BE 03798",5,9,Dusun Selatan
3866146991463783,Zalindra Pranowo,P,2006-05-29,"Gang Suryakencana No. 7, Parepare, DKI Jakarta 75383",11,5,Dusun Utara
2920879505659631,Wani Nashiruddin,L,1991-09-28,"Jl. Antapani Lama No. 105, Tanjungpinang, NT 04174",14,5,Dusun Selatan
8912816239088191,Jumadi Habibi,L,1968-06-24,"Jl. Yos Sudarso No. 51, Mataram, Kalimantan Timur 46282",11,1,Dusun Utara
8825229223856389,Kenari Waluyo,L,1979-07-02,"Jalan Erlangga No. 1, Pangkalpinang, Sulawesi Selatan 23302",14,4,Dusun Utara
3372494635362907,Tgk. Zamira Halim,P,1973-11-22,"Jalan Kutai No. 83, Purwokerto, Nusa Tenggara Barat 16730",12,3,Dusun Timur
4964780725139067,"Jaswadi Maryadi, S.Gz",L,1987-05-25,"Gang Joyoboyo No. 7, Cilegon, Maluku 92843",4,3,Dusun Barat
0850876693524780,Ir. Indra Yulianti,L,1971-02-10,"Gang Sukabumi No. 29, Kotamobagu, Kepulauan Bangka Belitung 73608",8,2,Dusun Barat
6363713965978107,R.A. Humaira Maryati,L,1950-06-08,"Jalan Ahmad Dahlan No. 0, Sungai Penuh, Jambi 56310",7,5,Dusun Selatan
9001076143792308,Cahya Wijaya,L,1958-07-09,"Jalan Dr. Djunjunan No. 5, Pangkalpinang, BB 96298",4,1,Dusun Timur
9687470094245614,"Drs. Laila Waluyo, M.TI.",P,1972-07-03,"Jalan Kutisari Selatan No. 124, Purwokerto, Riau 20544",3,1,Dusun Barat
4280405364146321,"Puti Vicky Dabukke, M.M.",L,1957-04-03,"Gang Abdul Muis No. 8, Tual, Sumatera Selatan 96767",5,4,Dusun Utara
3361177917992590,Michelle Haryanto,L,1961-06-18,"Jalan Kendalsari No. 5, Ambon, PB 96926",15,5,Dusun Selatan
8178803290362531,Ulva Saputra,P,1977-12-18,"Jl. Tebet Barat Dalam No. 491, Solok, Jawa Timur 55540",16,8,Dusun Timur
9316991665859597,T. Lurhur Haryanti,P,1965-11-23,"Jalan K.H. Wahid Hasyim No. 28, Surakarta, SB 63279",1,4,Dusun Selatan
8703540406059830,Rahayu Wahyuni,L,1974-06-27,"Gg. R.E Martadinata No. 15, Cilegon, Kalimantan Barat 10954",11,8,Dusun Selatan
1651760542238578,Rahayu Mansur,L,1970-09-10,"Gang Joyoboyo No. 27, Pekalongan, BE 72647",18,1,Dusun Barat
3668469009903557,Cut Farah Nasyidah,L,1961-06-18,"Jalan Stasiun Wonokromo No. 201, Tangerang, Kalimantan Tengah 97832",6,8,Dusun Selatan
0341432630059580,KH. Balapati Yuliarti,P,2008-05-13,"Jl. M.H Thamrin No. 200, Subulussalam, KU 27957",3,5,Dusun Selatan
7399102957880460,Pardi Halimah,P,2001-10-10,"Gang Pasir Koja No. 13, Ambon, Bali 95844",15,10,Dusun Timur
0002288833139052,"R. Bakidin Agustina, S.E.I",L,1987-08-10,"Jalan H.J Maemunah No. 2, Tebingtinggi, JT 26561",7,7,Dusun Selatan
4696205943363124,"H. Harjasa Rajata, M.Ak",L,1999-07-07,"Jl. Rajiman No. 9, Yogyakarta, Jawa Barat 64898",11,6,Dusun Timur
0544702991955665,"drg. Ganjaran Kurniawan, S.Kom",L,1976-01-19,"Gang Ahmad Dahlan No. 7, Banjarbaru, Jawa Timur 74306",6,7,Dusun Timur
9972776826559587,"Uda Nugroho, S.I.Kom",L,1950-04-11,"Jalan Kendalsari No. 833, Kota Administrasi Jakarta Timur, BB 38859",2,4,Dusun Barat
8013532765402353,Manah Situmorang,P,1997-01-29,"Jl. Waringin No. 2, Samarinda, LA 25620",5,3,Dusun Selatan
7064435175893036,Amelia Nasyidah,P,2005-04-10,"Gg. Rumah Sakit No. 7, Kota Administrasi Jakarta Selatan, Sulawesi Utara 85280",8,4,Dusun Barat
8660221445024091,"Puti Aisyah Januar, S.H.",P,1968-12-04,"Gang Cikapayang No. 51, Pasuruan, Bengkulu 58909",16,1,Dusun Selatan
8879576141131317,"R.A. Winda Halim, S.Kom",P,1947-05-20,"Gg. Ciwastra No. 175, Tomohon, Sumatera Barat 25642",3,1,Dusun Utara
1866453046037368,"Drs. Nilam Pranowo, S.E.I",L,1965-11-22,"Jl. Jamika No. 40, Blitar, RI 64241",3,4,Dusun Selatan
7790921215828673,Adinata Prasasta,L,1983-04-14,"Jl. Sadang Serang No. 8, Probolinggo, Banten 22786",1,1,Dusun Utara
0121722963975295,"Sutan Lasmanto Mandasari, M.Kom.",P,1949-01-18,"Gg. Jamika No. 308, Palembang, BA 07247",11,8,Dusun Timur
5731112147465029,"Caturangga Oktaviani, S.Kom",P,2002-09-21,"Gg. Kutai No. 2, Kota Administrasi Jakarta Selatan, MU 98897",9,7,Dusun Timur
5580975174653035,Hafshah Yuliarti,P,1953-06-19,"Jalan HOS. Cokroaminoto No. 5, Sabang, RI 17719",5,8,Dusun Selatan
8643090422808472,Galuh Wijayanti,P,1980-02-08,"Jl. Cikutra Barat No. 091, Prabumulih, KT 53937",13,2,Dusun Barat
6226184431449021,"Padma Pratiwi, S.Ked",P,1956-07-08,"Gg. Jamika No. 65, Bontang, BT 80681",8,3,Dusun Timur
3738255280807560,"Drs. Artanto Widodo, S.T.",P,1976-05-31,"Gg. Ronggowarsito No. 805, Pekalongan, Maluku Utara 07480",8,8,Dusun Selatan
0674753562745946,Febi Samosir,L,1991-08-09,"Jalan Ciumbuleuit No. 1, Palangkaraya, KI 40466",3,3,Dusun Barat
0659348543995383,Bakti Lazuardi,P,1987-04-30,"Gang Sadang Serang No. 3, Kota Administrasi Jakarta Selatan, SU 71853",4,1,Dusun Timur
1221246245418302,Jamalia Manullang,P,1960-10-06,"Gg. Pasteur No. 621, Bekasi, KU 72262",5,8,Dusun Selatan
8690488818418104,"Lanang Puspasari, S.E.",P,1965-01-06,"Gang BKR No. 001, Sorong, Banten 91282",7,6,Dusun Barat
5034712412024348,Ira Hastuti,L,1968-10-01,"Gg. R.E Martadinata No. 766, Kota Administrasi Jakarta Pusat, BE 13061",12,2,Dusun Barat
5420015230435561,Sabrina Wahyudin,L,1992-08-11,"Jl. Sentot Alibasa No. 5, Serang, KI 48443",7,4,Dusun Timur
9441571267287488,Jaka Pratiwi,L,1968-02-02,"Jalan Pelajar Pejuang No. 6, Palangkaraya, SU 57637",11,7,Dusun Barat
2485548732386253,Pranawa Kusmawati,P,1950-10-18,"Gang Erlangga No. 23, Madiun, Kalimantan Utara 31753",17,4,Dusun Utara
7128495079669618,Ayu Sirait,L,1983-07-22,"Gang Ahmad Dahlan No. 353, Kota Administrasi Jakarta Barat, Papua 27520",9,2,Dusun Timur
1109056540620712,Prabowo Damanik,P,2002-04-27,"Gg. Rawamangun No. 714, Tidore Kepulauan, KB 49736",19,4,Dusun Barat
5635589846298457,Salsabila Kusmawati,L,1957-07-09,"Gang Cempaka No. 328, Kota Administrasi Jakarta Selatan, BE 18097",3,6,Dusun Timur
5216344915601139,"dr. Cinta Namaga, M.M.",L,1980-03-07,"Jl. Setiabudhi No. 5, Bandung, SR 76854",6,5,Dusun Timur
4427093082087263,R. Saadat Latupono,L,1981-01-08,"Jl. Gardujati No. 39, Purwokerto, RI 61201",15,4,Dusun Timur
6150462069939232,Kunthara Rahimah,L,1987-06-14,"Gang Ahmad Yani No. 2, Bukittinggi, Sulawesi Tengah 16613",2,2,Dusun Selatan
1320064141012508,Hj. Puput Winarno,P,1955-01-28,"Jl. Kutisari Selatan No. 6, Salatiga, SR 94861",9,8,Dusun Selatan
8741456907055221,Titin Adriansyah,P,1969-04-12,"Jalan Pacuan Kuda No. 379, Cirebon, SU 31869",15,8,Dusun Barat
3843929480968391,Kezia Permata,P,2001-10-17,"Gg. Rajiman No. 306, Langsa, JI 36110",15,1,Dusun Barat
6530814316703920,"Upik Samosir, M.Pd",L,1950-02-22,"Jalan Sadang Serang No. 429, Purwokerto, BA 42686",8,6,Dusun Utara
5080350063495587,dr. Bakda Prasasta,L,1995-05-10,"Gg. Jend. A. Yani No. 943, Malang, BB 36431",4,8,Dusun Barat
8458037537888291,Putu Waluyo,P,1987-03-30,"Jl. Jakarta No. 4, Banda Aceh, ST 10985",17,3,Dusun Barat
2139350615013677,"Vicky Nainggolan, M.TI.",L,1996-02-02,"Gg. Sentot Alibasa No. 7, Manado, NB 49295",1,5,Dusun Timur
9613105981930630,"Ophelia Tamba, M.TI.",L,1957-01-16,"Gang Bangka Raya No. 9, Magelang, Maluku 73451",1,5,Dusun Timur
6157082044586814,Carla Anggraini,P,1954-05-05,"Jl. Soekarno Hatta No. 30, Bengkulu, Kalimantan Tengah 97741",1,6,Dusun Timur
6435355183401290,Drs. Tiara Suartini,P,1991-01-06,"Jalan Kendalsari No. 1, Probolinggo, KS 49505",3,3,Dusun Barat
4884417290587323,Kartika Fujiati,L,1984-01-05,"Jl. Jamika No. 35, Ambon, Sulawesi Barat 68507",19,4,Dusun Timur
5258124279567903,Gasti Yuliarti,P,1967-09-09,"Gg. Antapani Lama No. 88, Ternate, JK 68526",12,4,Dusun Selatan
5390987694424618,Cut Dewi Irawan,L,1976-11-20,"Jalan Kebonjati No. 177, Serang, KU 01751",12,7,Dusun Selatan
4881064271936846,"Tgk. Aswani Mandasari, S.E.I",L,1956-08-23,"Gg. Kutai No. 1, Prabumulih, JB 59945",5,3,Dusun Barat
0414165383360913,Ismail Halim,L,1986-12-16,"Gang M.T Haryono No. 4, Binjai, DI Yogyakarta 12621",18,8,Dusun Barat
0829297083950545,Cengkir Puspasari,P,1948-01-20,"Gang Jayawijaya No. 144, Tegal, BA 79508",9,2,Dusun Utara
8283944647809886,Dadi Situmorang,P,1974-10-15,"Jalan Indragiri No. 74, Payakumbuh, Bali 35807",12,8,Dusun Selatan
6735681749127784,"Ir. Prabawa Putra, M.Kom.",L,1953-05-12,"Gg. Monginsidi No. 1, Pasuruan, SU 57945",4,2,Dusun Barat
5497349680438016,"Galih Yuniar, M.TI.",P,1947-05-18,"Jalan R.E Martadinata No. 052, Kupang, Sumatera Barat 67742",5,4,Dusun Timur
0003135989915206,"Tgk. Latika Nashiruddin, S.E.I",L,1947-06-18,"Jalan Setiabudhi No. 62, Kota Administrasi Jakarta Selatan, KU 16961",4,8,Dusun Barat
2089986736069768,Gandi Mardhiyah,L,1960-10-31,"Gang Rumah Sakit No. 76, Tomohon, JB 18681",13,2,Dusun Timur
2927749112285608,"Aurora Pertiwi, S.H.",L,1995-12-29,"Gg. Merdeka No. 243, Sungai Penuh, LA 87645",14,3,Dusun Utara
7257544391531334,Cornelia Prayoga,P,1957-11-30,"Jl. PHH. Mustofa No. 8, Batam, Sulawesi Tengah 62359",12,5,Dusun Selatan
3579963060830774,Bakti Budiyanto,P,1965-05-01,"Jalan Lembong No. 11, Tangerang Selatan, KI 72885",4,7,Dusun Barat
2870466052616816,Malik Usamah,L,1982-12-06,"Jl. Cikapayang No. 815, Salatiga, Lampung 06150",20,5,Dusun Timur
4019215486242377,Tgk. Nadia Hidayanto,P,1981-11-06,"Gang Monginsidi No. 2, Cilegon, Papua 22773",13,4,Dusun Timur
8412959658989026,Daryani Rahimah,P,1999-03-19,"Gang Antapani Lama No. 69, Bekasi, ST 47129",14,2,Dusun Barat
8701739782234096,Ratih Haryanti,L,1976-06-11,"Jl. Medokan Ayu No. 7, Mataram, BB 74157",7,2,Dusun Utara
8907308816951136,Puti Andriani,P,1982-04-21,"Gg. Gedebage Selatan No. 00, Lhokseumawe, SS 94250",1,10,Dusun Utara
9184407469087011,Makara Nashiruddin,L,1982-03-18,"Gg. Kendalsari No. 48, Blitar, Jawa Timur 69105",18,2,Dusun Selatan
0795228134349640,Tira Wulandari,P,1948-08-08,"Gang Wonoayu No. 05, Sabang, BB 31508",5,6,Dusun Barat
3731104172211346,"R. Gamanto Siregar, M.TI.",L,1985-08-28,"Gg. Cikutra Timur No. 25, Pekanbaru, DKI Jakarta 17949",8,1,Dusun Utara
3079798524590668,Patricia Maheswara,P,1983-02-22,"Gg. Lembong No. 9, Kendari, Sulawesi Selatan 30740",13,2,Dusun Selatan
8923848276766896,"Balijan Hidayanto, S.I.Kom",P,1961-07-07,"Gang Raya Ujungberung No. 5, Binjai, BE 43487",9,5,Dusun Selatan
5505707176723843,dr. Tasdik Wasita,L,1972-11-24,"Jalan Ronggowarsito No. 46, Cirebon, YO 80531",12,6,Dusun Barat
5499729626086338,Sutan Bakiman Maryati,P,1978-09-20,"Jalan Gegerkalong Hilir No. 56, Batu, SN 06855",2,6,Dusun Selatan
3024145816640731,"Anom Anggriawan, S.I.Kom",L,1949-02-06,"Jalan Sukabumi No. 17, Banda Aceh, Nusa Tenggara Barat 48646",9,6,Dusun Utara
5886270123765724,"Tgk. Tiara Nurdiyanti, M.Pd",L,1950-03-23,"Gang Rajiman No. 68, Bengkulu, AC 05294",16,7,Dusun Timur
3234037434971729,H. Sidiq Mangunsong,P,2004-05-21,"Gang Yos Sudarso No. 7, Tangerang, Nusa Tenggara Timur 61025",19,6,Dusun Utara
4748241892568145,"Karimah Laksmiwati, S.Kom",L,1982-12-30,"Gg. Cihampelas No. 8, Bogor, SS 10198",5,7,Dusun Utara
1305134067651495,"R. Asmuni Prasetyo, S.Gz",L,1988-04-02,"Jalan Cihampelas No. 86, Sabang, Kepulauan Bangka Belitung 98277",11,4,Dusun Selatan
6949222967100276,Umar Tarihoran,L,2005-01-06,"Jalan Tebet Barat Dalam No. 56, Kota Administrasi Jakarta Barat, Kalimantan Barat 06456",5,9,Dusun Selatan
3342157535226615,"Ciaobella Oktaviani, S.Pt",L,1984-11-06,"Gg. Dipenogoro No. 1, Makassar, SR 43422",15,10,Dusun Timur
9285445036746183,dr. Fitriani Uwais,L,1973-06-18,"Gang Pasir Koja No. 31, Bitung, Nusa Tenggara Barat 20542",17,8,Dusun Timur
2590089492307204,Dimas Sihombing,L,1988-02-25,"Gang S. Parman No. 917, Cilegon, PB 38221",20,3,Dusun Timur
3614023753343132,Dewi Aryani,P,1972-05-26,"Gang Antapani Lama No. 42, Solok, KR 17221",16,6,Dusun Utara
5692616783837459,"drg. Ganep Hakim, S.Ked",P,2006-01-13,"Gg. Pacuan Kuda No. 2, Denpasar, JT 75376",12,9,Dusun Utara
2029295279128035,"Melinda Tarihoran, S.H.",P,1993-10-11,"Jl. Sukajadi No. 21, Gorontalo, Kalimantan Barat 10475",2,4,Dusun Barat
9371199201380552,Jefri Rajata,L,1981-12-09,"Jl. Kendalsari No. 025, Denpasar, RI 52602",18,1,Dusun Selatan
2277701387396784,Halim Nasyiah,P,1950-06-17,"Jalan Moch. Ramdan No. 56, Meulaboh, Kalimantan Timur 04315",11,10,Dusun Timur
3805005257919093,"Putri Suryatmi, S.Kom",P,1981-01-15,"Gang S. Parman No. 9, Purwokerto, NB 29200",13,9,Dusun Selatan
6660506374701054,Opan Tarihoran,P,1996-03-17,"Jalan Gegerkalong Hilir No. 1, Bitung, SU 03563",11,10,Dusun Utara
0076887620583812,R. Martaka Hartati,P,1977-01-18,"Jl. Joyoboyo No. 178, Ternate, Kalimantan Utara 86121",4,2,Dusun Selatan
8589452305484882,Dt. Umaya Habibi,L,1965-08-10,"Jl. Sukabumi No. 6, Kupang, Gorontalo 03494",19,4,Dusun Barat
3238565421097752,"Rika Laksita, S.Psi",P,1974-07-17,"Jalan Cempaka No. 56, Sorong, Aceh 12431",13,7,Dusun Barat
9382755108713322,Halim Farida,L,1996-05-20,"Gg. Asia Afrika No. 3, Bontang, RI 97697",4,5,Dusun Barat
7096952091938198,Diah Oktaviani,L,1996-03-20,"Gg. Pasir Koja No. 89, Sawahlunto, Bali 87736",17,10,Dusun Utara
0666766054356491,Septi Simanjuntak,L,1953-04-22,"Jalan Soekarno Hatta No. 2, Bekasi, Kalimantan Barat 30379",2,9,Dusun Utara
1233636908011848,"Cut Ami Prastuti, M.Kom.",P,1967-03-15,"Gang K.H. Wahid Hasyim No. 4, Singkawang, DKI Jakarta 63993",17,5,Dusun Barat
1451700415382897,Usyi Mayasari,P,2007-12-27,"Gg. Lembong No. 28, Palangkaraya, Papua 82324",18,4,Dusun Timur
2427488770980438,Ir. Samiah Novitasari,L,1954-02-20,"Jl. Rungkut Industri No. 8, Binjai, PA 32011",10,3,Dusun Utara
7929802227572907,Ir. Janet Rahimah,L,1971-05-31,"Gg. Ahmad Yani No. 189, Pekalongan, Papua Barat 32494",5,7,Dusun Utara
1799974602895557,Asmianto Haryanti,L,1979-09-22,"Gang Sadang Serang No. 54, Palangkaraya, ST 04596",18,8,Dusun Selatan
8539823642071120,"dr. Zulaikha Handayani, M.M.",P,1957-06-18,"Jalan Jend. Sudirman No. 5, Ambon, PB 96030",10,2,Dusun Timur
3810757414423927,"dr. Drajat Pratiwi, M.Pd",P,1947-01-01,"Gg. Dipatiukur No. 7, Depok, MA 82165",5,7,Dusun Selatan
8366480808127930,"Indra Zulaika, M.Kom.",P,2000-04-11,"Gang KH Amin Jasuta No. 175, Semarang, Maluku Utara 78893",17,3,Dusun Selatan
7750216079740642,R. Harsaya Usamah,P,1946-10-22,"Jl. Abdul Muis No. 6, Bandung, DKI Jakarta 77172",18,6,Dusun Timur
3380320105199615,Lega Sihotang,L,1950-01-22,"Gang Medokan Ayu No. 213, Padang, KU 96417",6,1,Dusun Timur
0242969726430903,"Winda Mandasari, S.Sos",P,1957-01-09,"Jl. Sadang Serang No. 909, Palopo, Sulawesi Barat 70534",18,2,Dusun Barat
4492925088840449,Oni Wijayanti,P,1984-09-14,"Gg. M.T Haryono No. 75, Medan, AC 76970",16,3,Dusun Utara
6179229225311856,dr. Chelsea Prasetya,P,1987-03-22,"Gg. Dipenogoro No. 9, Samarinda, KS 36859",1,7,Dusun Utara
3259566967243621,Mustofa Setiawan,L,1978-04-11,"Jl. Dipenogoro No. 93, Kota Administrasi Jakarta Selatan, Maluku 66787",16,6,Dusun Barat
9103771228871652,Yance Sihombing,L,2006-09-20,"Gang Kebonjati No. 168, Metro, MA 40161",17,5,Dusun Timur
4746233950720641,Hamima Widodo,L,1979-08-26,"Gang Kutisari Selatan No. 9, Purwokerto, Sulawesi Tenggara 82484",6,6,Dusun Utara
2611508233454797,dr. Gilda Latupono,L,2004-01-01,"Jalan H.J Maemunah No. 53, Kota Administrasi Jakarta Timur, DI Yogyakarta 62563",6,6,Dusun Timur
0243215697964455,Rini Budiyanto,L,1945-05-02,"Gang Moch. Ramdan No. 045, Surakarta, Gorontalo 70724",15,1,Dusun Barat
2144270459546879,Ibrani Ramadan,L,2001-06-15,"Gg. Rajiman No. 34, Tebingtinggi, JT 34376",17,7,Dusun Barat
7244406312500476,"dr. Gangsar Palastri, M.Farm",L,1959-05-04,"Jl. Asia Afrika No. 99, Banjarmasin, DI Yogyakarta 15517",19,8,Dusun Timur
7800378822098933,Drs. Rangga Hidayanto,P,1978-04-25,"Gang M.H Thamrin No. 607, Banda Aceh, BA 65019",18,6,Dusun Timur
3395324184265866,"Zelaya Zulaika, M.Farm",L,1956-08-25,"Jl. Gedebage Selatan No. 79, Binjai, JA 02117",1,5,Dusun Selatan
2759865275979377,Ira Maryati,L,1959-08-04,"Jl. Indragiri No. 76, Mataram, Kalimantan Timur 81077",10,1,Dusun Utara
1017160602407383,Ivan Wibowo,P,1967-01-22,"Gang W.R. Supratman No. 111, Yogyakarta, NB 06192",17,6,Dusun Utara
5629626782587060,Pangestu Astuti,L,1999-02-03,"Jl. Erlangga No. 6, Padang, Kalimantan Selatan 64981",15,3,Dusun Barat
1077354492505691,R. Yessi Wastuti,L,1995-06-27,"Jl. Suryakencana No. 400, Kendari, BE 70982",14,7,Dusun Timur
5623632110037961,"dr. Balangga Natsir, S.IP",L,1956-02-25,"Jalan Siliwangi No. 99, Tidore Kepulauan, Sumatera Selatan 96724",10,6,Dusun Selatan
5823749201876758,"Cager Mahendra, S.E.",L,1987-02-24,"Jalan K.H. Wahid Hasyim No. 42, Bau-Bau, KI 93715",10,4,Dusun Barat
4396902324273176,"dr. Widya Prabowo, S.Gz",L,1952-10-29,"Gang Ahmad Yani No. 29, Payakumbuh, Sulawesi Utara 36672",4,7,Dusun Barat
0033581934484962,Pandu Irawan,P,1955-08-21,"Jalan Sukabumi No. 118, Padangpanjang, KR 31565",3,9,Dusun Barat
